pygame 2.6.1 (SDL 2.28.4, Python 3.9.23)
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode 31900, Total Reward: -88.66317599999999, Epsilon: 0.147, LC: 155
Episode 32000, Total Reward: -90.07334800000001, Epsilon: 0.147, LC: 136
Episode 32100, Total Reward: -99.822534, Epsilon: 0.146, LC: 151
Episode 32200, Total Reward: -65.831767, Epsilon: 0.145, LC: 150
Episode 32300, Total Reward: -106.84328200000002, Epsilon: 0.144, LC: 138
Episode 32400, Total Reward: -69.09993300000001, Epsilon: 0.143, LC: 134
Episode 32500, Total Reward: -92.55284600000002, Epsilon: 0.142, LC: 149
Episode 32600, Total Reward: -95.67395100000002, Epsilon: 0.141, LC: 123
Episode 32700, Total Reward: -106.83690700000001, Epsilon: 0.141, LC: 159
Episode 32800, Total Reward: -105.385715, Epsilon: 0.140, LC: 170
Episode 32900, Total Reward: -108.16987200000001, Epsilon: 0.139, LC: 182
Episode 33000, Total Reward: -100.48603600000001, Epsilon: 0.138, LC: 169
Episode 33100, Total Reward: -101.419402, Epsilon: 0.137, LC: 139
Episode 33200, Total Reward: -107.08168500000002, Epsilon: 0.136, LC: 146
Episode 33300, Total Reward: -92.27522200000001, Epsilon: 0.136, LC: 160
Episode 33400, Total Reward: -107.025552, Epsilon: 0.135, LC: 129
Episode 33500, Total Reward: -94.96845100000002, Epsilon: 0.134, LC: 150
Episode 33600, Total Reward: -75.22113900000001, Epsilon: 0.133, LC: 147
Episode 33700, Total Reward: -92.03861800000001, Epsilon: 0.132, LC: 140
Episode 33800, Total Reward: -99.806036, Epsilon: 0.132, LC: 168
Episode 33900, Total Reward: -98.12476500000001, Epsilon: 0.131, LC: 167
Episode 34000, Total Reward: -105.123197, Epsilon: 0.130, LC: 152
Episode 34100, Total Reward: -75.938561, Epsilon: 0.129, LC: 164
Episode 34200, Total Reward: -86.80559600000001, Epsilon: 0.128, LC: 156
Episode 34300, Total Reward: -104.618121, Epsilon: 0.128, LC: 145
Episode 34400, Total Reward: -95.242891, Epsilon: 0.127, LC: 149
Episode 34500, Total Reward: -100.368223, Epsilon: 0.126, LC: 185
Episode 34600, Total Reward: -72.768112, Epsilon: 0.125, LC: 169
Episode 34700, Total Reward: -110.32378700000001, Epsilon: 0.125, LC: 169
Episode 34800, Total Reward: -85.92836300000002, Epsilon: 0.124, LC: 170
Episode 34900, Total Reward: -94.723673, Epsilon: 0.123, LC: 158
Episode 35000, Total Reward: -115.165948, Epsilon: 0.122, LC: 152
Episode 35100, Total Reward: -101.396529, Epsilon: 0.122, LC: 158
Episode 35200, Total Reward: -102.93726400000001, Epsilon: 0.121, LC: 128
Episode 35300, Total Reward: -100.71791400000001, Epsilon: 0.120, LC: 143
Episode 35400, Total Reward: -93.04641400000001, Epsilon: 0.120, LC: 151
Episode 35500, Total Reward: -113.22340100000001, Epsilon: 0.119, LC: 140
Episode 35600, Total Reward: -114.22482200000002, Epsilon: 0.118, LC: 173
Episode 35700, Total Reward: -88.907954, Epsilon: 0.117, LC: 173
Episode 35800, Total Reward: -93.567017, Epsilon: 0.117, LC: 163
Episode 35900, Total Reward: -95.638328, Epsilon: 0.116, LC: 158
Episode 36000, Total Reward: -97.82606700000001, Epsilon: 0.115, LC: 167
Episode 36100, Total Reward: -93.32820000000001, Epsilon: 0.115, LC: 159
Episode 36200, Total Reward: -90.40073000000001, Epsilon: 0.114, LC: 178
Episode 36300, Total Reward: -106.397673, Epsilon: 0.113, LC: 141
Episode 36400, Total Reward: -97.344835, Epsilon: 0.113, LC: 157
Episode 36500, Total Reward: -91.458284, Epsilon: 0.112, LC: 141
